"date","key","value"
1,"BC",20
2,"BC",9
3,"BC",26
4,"BC",41
5,"BC",6
6,"BC",25
7,"BC",36
8,"BC",33
9,"BC",16
11,"BC",7
12,"BC",26
13,"BC",23
14,"BC",7
15,"BC",17
16,"BC",10
18,"BC",28
19,"BC",3
20,"BC",16
21,"BC",17
1,"SSK",31
2,"SSK",15
3,"SSK",13
5,"SSK",37
6,"SSK",38
7,"SSK",23
8,"SSK",16
9,"SSK",20
10,"SSK",35
11,"SSK",30
12,"SSK",3
13,"SSK",35
14,"SSK",0
15,"SSK",24
16,"SSK",9
17,"SSK",19
18,"SSK",27
20,"SSK",24
21,"SSK",10
1,"CGY",29
3,"CGY",34
4,"CGY",10
5,"CGY",26
6,"CGY",24
7,"CGY",38
8,"CGY",30
9,"CGY",32
10,"CGY",28
11,"CGY",41
12,"CGY",40
13,"CGY",15
14,"CGY",14
15,"CGY",31
17,"CGY",33
18,"CGY",40
19,"CGY",13
20,"CGY",33
22,"CGY",43
23,"CGY",20
1,"EDM",27
2,"EDM",28
3,"EDM",27
4,"EDM",26
5,"EDM",22
7,"EDM",33
8,"EDM",10
9,"EDM",41
10,"EDM",13
11,"EDM",34
12,"EDM",33
13,"EDM",23
14,"EDM",24
15,"EDM",32
16,"EDM",41
17,"EDM",24
19,"EDM",37
20,"EDM",17
21,"EDM",18
22,"EDM",18
1,"WPG",45
2,"WPG",36
3,"WPG",34
4,"WPG",3
5,"WPG",23
6,"WPG",27
7,"WPG",17
8,"WPG",21
9,"WPG",24
10,"WPG",30
11,"WPG",24
12,"WPG",9
14,"WPG",11
15,"WPG",20
16,"WPG",9
17,"WPG",23
18,"WPG",23
19,"WPG",18
1,"HAM",10
2,"HAM",24
4,"HAM",7
5,"HAM",33
6,"HAM",26
7,"HAM",29
8,"HAM",20
10,"HAM",13
11,"HAM",31
12,"HAM",28
13,"HAM",25
14,"HAM",16
15,"HAM",19
16,"HAM",33
17,"HAM",16
18,"HAM",24
19,"HAM",34
20,"HAM",29
22,"HAM",40
23,"HAM",16
1,"TOR",21
2,"TOR",48
3,"TOR",15
4,"TOR",17
5,"TOR",9
6,"TOR",31
8,"TOR",38
8,"TOR",17
9,"TOR",27
10,"TOR",12
12,"TOR",33
13,"TOR",40
15,"TOR",33
16,"TOR",34
17,"TOR",12
18,"TOR",26
19,"TOR",14
20,"TOR",23
1,"MTL",8
2,"MTL",24
3,"MTL",33
4,"MTL",5
6,"MTL",5
7,"MTL",23
8,"MTL",11
9,"MTL",16
10,"MTL",20
11,"MTL",38
12,"MTL",16
13,"MTL",31
14,"MTL",15
16,"MTL",40
17,"MTL",20
18,"MTL",23
19,"MTL",17
20,"MTL",15
21,"MTL",50
22,"MTL",24
2,"ORB",28
3,"ORB",11
4,"ORB",18
5,"ORB",23
6,"ORB",14
7,"ORB",17
8,"ORB",8
9,"ORB",7
10,"ORB",10
11,"ORB",5
13,"ORB",32
14,"ORB",7
15,"ORB",42
16,"ORB",0
17,"ORB",6
18,"ORB",17
19,"ORB",25
20,"ORB",5
